character,film,line,processed_lines,line_count,neg,neu,pos,compound
HAN,EpisodeVI,"Well, short help is better than no help at all, Chewie.  Thank you. Okay.","['short', 'help', 'better', 'help', 'chewie', 'thank', 'okay']",124,0.101,0.358,0.541,0.8335
THREEPIO,EpisodeVI,He says the scouts are going to show us the quickest way to the shield generator.,"['says', 'scouts', 'going', 'show', 'us', 'quickest', 'way', 'shield', 'generator']",90,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Good. How far is it? Ask him. We need some fresh supplies, too. And try and get our weapons back.","['good', 'far', 'ask', 'need', 'fresh', 'supplies', 'try', 'weapons', 'back']",124,0.116,0.677,0.207,0.3182
HAN,EpisodeVI,"And hurry up, will ya? I haven't got all day.","['hurry', 'will', 'ya', 'got', 'day']",124,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"Luke, what's wrong?","['luke', 'wrong']",112,0.608,0.392,0.0,-0.4767
LUKE,EpisodeVI,Leia... do you remember your mother? Your real mother?,"['leia', 'remember', 'mother', 'real', 'mother']",112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Just a little bit. She died when I was very young.,"['little', 'bit', 'died', 'young']",56,0.25,0.75,0.0,-0.5165
LUKE,EpisodeVI,What do you remember?,['remember'],112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,"Just...images, really. Feelings.","['justimages', 'really', 'feelings']",56,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,Tell me.,['tell'],112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,"She was very beautiful. Kind, but...sad.  Why are you asking me all this?","['beautiful', 'kind', 'butsad', 'asking']",56,0.0,0.583,0.417,0.8347
LUKE,EpisodeVI,I have no memory of my mother. I never knew her.,"['memory', 'mother', 'never', 'knew']",112,0.18,0.82,0.0,-0.296
LEIA,EpisodeVI,"Luke, tell me. What's troubling you?","['luke', 'tell', 'troubling']",56,0.412,0.588,0.0,-0.5423
LUKE,EpisodeVI,"Vader is here...now, on this moon.","['vader', 'herenow', 'moon']",112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,How do you know?,['know'],56,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"I felt his presence. He's come for me. He can feel when I'm near. That's why I have to go.  As long as I stay, I'm endangering the group and our mission here.  I have to face him.","['felt', 'presence', 'come', 'feel', 'near', 'go', 'long', 'stay', 'endangering', 'group', 'mission', 'face']",112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Why?,[],56,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,He's my father.,['father'],112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Your father?,['father'],56,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"There's more. It won't be easy for you to hear it, but you must. If I don't make it back, you're the only hope for the Alliance.","['easy', 'hear', 'must', 'make', 'back', 'hope', 'alliance']",112,0.056,0.818,0.126,0.4848
LEIA,EpisodeVI,"Luke, don't talk that way. You have a power I--I don't understand and could never have.","['luke', 'talk', 'way', 'power', 'ii', 'understand', 'never']",56,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"You're wrong, Leia. You have that power too. In time you'll learn to use it as I have. The Force is strong in my family. My father has it...I have it...and...my sister has it.","['wrong', 'leia', 'power', 'time', 'learn', 'use', 'force', 'strong', 'family', 'father', 'iti', 'itandmy', 'sister']",112,0.081,0.833,0.086,0.0516
LUKE,EpisodeVI,Yes. It's you Leia.,"['yes', 'leia']",112,0.0,0.526,0.474,0.4019
LEIA,EpisodeVI,I know. Somehow...I've always known.,"['know', 'somehowive', 'always', 'known']",56,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,Then you know why I have to face him.,"['know', 'face']",112,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,"No! Luke, run away, far away. If he can feel your presence, then leave this place. I wish I could go with you.","['luke', 'run', 'away', 'far', 'away', 'feel', 'presence', 'leave', 'place', 'wish', 'go']",56,0.048,0.834,0.119,0.4199
LUKE,EpisodeVI,"No, you don't. You've always been strong.","['always', 'strong']",112,0.0,0.645,0.355,0.5106
LEIA,EpisodeVI,"But, why must you confront him?","['must', 'confront']",56,0.291,0.709,0.0,-0.2617
LUKE,EpisodeVI,Because...there is good in him. I've felt it. He won't turn me over to the Emperor. I can save him. I can turn him back to the good side. I have to try.,"['becausethere', 'good', 'felt', 'turn', 'emperor', 'save', 'turn', 'back', 'good', 'side', 'try']",112,0.0,0.769,0.231,0.8402
HAN,EpisodeVI,"Hey, what's goin' on?","['hey', 'goin']",124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Nothing. I - just want to be alone for a little while.,"['nothing', 'want', 'alone', 'little']",56,0.15,0.752,0.098,-0.1779
HAN,EpisodeVI,"Nothing?  Come on, tell me.  What's goin' on?","['nothing', 'come', 'tell', 'goin']",124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,I...I can't tell you.,"['ii', 'tell']",56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Did you tell Luke? Is that who you could tell?,"['tell', 'luke', 'tell']",124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,I...,[],56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Ahhh...,['ahhh'],124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,I'm sorry.,['sorry'],124,0.565,0.435,0.0,-0.0772
LEIA,EpisodeVI,Hold me.,['hold'],56,0.0,1.0,0.0,0.0
COMMANDER,EpisodeVI,"This is a Rebel that surrendered to us. Although he denies it, I believe there may be more of them, and I request permission to conduct a further search of the area.","['rebel', 'surrendered', 'us', 'although', 'denies', 'believe', 'may', 'request', 'permission', 'conduct', 'search', 'area']",7,0.128,0.872,0.0,-0.5267
COMMANDER,EpisodeVI,He was armed only with this.,['armed'],7,0.0,1.0,0.0,0.0
VADER,EpisodeVI,"Good work, Commander. Leave us. Conduct your search and bring his companions to me.","['good', 'work', 'commander', 'leave', 'us', 'conduct', 'search', 'bring', 'companions']",43,0.075,0.745,0.18,0.4019
COMMANDER,EpisodeVI,"Yes, my Lord.","['yes', 'lord']",7,0.0,0.426,0.574,0.4019
VADER,EpisodeVI,The Emperor has been expecting you.,"['emperor', 'expecting']",43,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"I know, father.","['know', 'father']",112,0.0,1.0,0.0,0.0
VADER,EpisodeVI,"So, you have accepted the truth.","['accepted', 'truth']",43,0.0,0.476,0.524,0.5267
LUKE,EpisodeVI,"I've accepted the truth that you were once Anakin Skywalker, my father.","['accepted', 'truth', 'anakin', 'skywalker', 'father']",112,0.0,0.694,0.306,0.5267
VADER,EpisodeVI,That name no longer has any meaning for me.,"['name', 'longer', 'meaning']",43,0.216,0.784,0.0,-0.296
LUKE,EpisodeVI,It is the name of your true self. You've only forgotten. I know there is good in you. The Emperor hasn't driven it from you fully. That is why you couldn't destroy me. That's why you won't bring me to your Emperor now.,"['name', 'true', 'self', 'forgotten', 'know', 'good', 'emperor', 'driven', 'fully', 'destroy', 'bring', 'emperor', 'now']",112,0.038,0.789,0.173,0.7684
VADER,EpisodeVI,I see you have constructed a new lightsaber.,"['see', 'constructed', 'new', 'lightsaber']",43,0.0,1.0,0.0,0.0
VADER,EpisodeVI,"Your skills are complete. Indeed, you are powerful, as the Emperor has foreseen.","['skills', 'complete', 'indeed', 'powerful', 'emperor', 'foreseen']",43,0.0,0.811,0.189,0.4215
LUKE,EpisodeVI,Come with me.,['come'],112,0.0,1.0,0.0,0.0
VADER,EpisodeVI,Obi-Wan once thought as you do.,"['obiwan', 'thought']",43,0.0,1.0,0.0,0.0
VADER,EpisodeVI,You don't know the power of the dark side. I must obey my master.,"['know', 'power', 'dark', 'side', 'must', 'obey', 'master']",43,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,I will not turn...and you'll be forced to kill me.,"['will', 'turnand', 'forced', 'kill']",112,0.49,0.51,0.0,-0.8271
VADER,EpisodeVI,If that is your destiny.,['destiny'],43,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,"Search your feelings, father. You can't do this. I feel the conflict within you. Let go of your hate.","['search', 'feelings', 'father', 'feel', 'conflict', 'within', 'let', 'go', 'hate']",112,0.261,0.739,0.0,-0.7184
VADER,EpisodeVI,"It is too late for me, son. The Emperor will show you the true nature of the Force. He is your master now.","['late', 'son', 'emperor', 'will', 'show', 'true', 'nature', 'force', 'master', 'now']",43,0.0,0.887,0.113,0.4215
LUKE,EpisodeVI,Then my father is truly dead.,"['father', 'truly', 'dead']",112,0.384,0.357,0.259,-0.34
LEIA,EpisodeVI,The main entrance to the control bunker's on the far side of that landing platform. This isn't gonna be easy.,"['main', 'entrance', 'control', 'bunkers', 'far', 'side', 'landing', 'platform', 'gon', 'na', 'easy']",56,0.112,0.888,0.0,-0.3412
HAN,EpisodeVI,"Hey, don't worry. Chewie and me got into a lot of places more heavily guarded than this.","['hey', 'worry', 'chewie', 'got', 'lot', 'places', 'heavily', 'guarded']",124,0.0,0.869,0.131,0.3412
LEIA,EpisodeVI,What's he saying?,['saying'],56,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,He says there's a secret entrance on the other side of the ridge.,"['says', 'secret', 'entrance', 'side', 'ridge']",90,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,"Admiral, we're in position. All fighters accounted for.","['admiral', 'position', 'fighters', 'accounted']",40,0.126,0.632,0.242,0.2732
ACKBAR,EpisodeVI,Proceed with the countdown. All groups assume attack coordinates.,"['proceed', 'countdown', 'groups', 'assume', 'attack', 'coordinates']",14,0.279,0.721,0.0,-0.4767
LANDO,EpisodeVI,"Don't worry, my friends are down there. They'll have that shield down on time... or this'll be the shortest offensive of all time.","['worry', 'friends', 'shield', 'time', 'thisll', 'shortest', 'offensive', 'time']",40,0.199,0.715,0.086,-0.485
ACKBAR,EpisodeVI,"All craft, prepare to jump to hyperspace on my mark.","['craft', 'prepare', 'jump', 'hyperspace', 'mark']",14,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,All right. Stand by.,"['right', 'stand']",40,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Back door, huh? Good idea.","['back', 'door', 'huh', 'good', 'idea']",124,0.0,0.58,0.42,0.4404
HAN,EpisodeVI,It's only a few guards. This shouldn't be too much trouble.,"['guards', 'much', 'trouble']",124,0.213,0.787,0.0,-0.4019
LEIA,EpisodeVI,"Well, it only takes one to sound the alarm.","['takes', 'one', 'sound', 'alarm']",56,0.209,0.609,0.183,-0.0772
HAN,EpisodeVI,Then we'll do it real quiet-like.,"['real', 'quietlike']",124,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh! Oh, my. Uh, Princess Leia!","['oh', 'oh', 'uh', 'princess', 'leia']",90,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Quiet.,['quiet'],56,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,I'm afraid our furry companion has gone and done something rather rash.,"['afraid', 'furry', 'companion', 'gone', 'done', 'something', 'rather', 'rash']",90,0.197,0.803,0.0,-0.4019
LEIA,EpisodeVI,"Oh, no.",['oh'],56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,There goes our surprise attack.,"['goes', 'surprise', 'attack']",124,0.378,0.366,0.256,-0.25
SCOUT,EpisodeVI,Look! Over there! Stop him!,"['look', 'stop']",1,0.435,0.565,0.0,-0.4724
HAN,EpisodeVI,Not bad for a little furball. There's only one left. You stay here. We'll take care of this.,"['bad', 'little', 'furball', 'one', 'left', 'stay', 'take', 'care']",124,0.0,0.726,0.274,0.7227
THREEPIO,EpisodeVI,I have decided that we shall stay here.,"['decided', 'stay']",90,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,"Welcome, young Skywalker. I have been expecting you.","['welcome', 'young', 'skywalker', 'expecting']",39,0.0,0.7,0.3,0.4588
EMPEROR,EpisodeVI,You no longer need those.,"['longer', 'need']",39,0.355,0.645,0.0,-0.296
EMPEROR,EpisodeVI,"Guards, leave us.","['guards', 'leave', 'us']",39,0.375,0.625,0.0,-0.0516
EMPEROR,EpisodeVI,I'm looking forward to completing your training. In time you will call me Master.,"['looking', 'forward', 'completing', 'training', 'time', 'will', 'call', 'master']",39,0.0,1.0,0.0,0.0
LUKE,EpisodeVI,You're gravely mistaken. You won't convert me as you did my father.,"['gravely', 'mistaken', 'convert', 'father']",112,0.333,0.667,0.0,-0.6124
EMPEROR,EpisodeVI,"Oh, no, my young Jedi. You will find that it is you who are mistaken...about a great many things.","['oh', 'young', 'jedi', 'will', 'find', 'mistakenabout', 'great', 'many', 'things']",39,0.0,0.814,0.186,0.6249
VADER,EpisodeVI,His lightsaber.,['lightsaber'],43,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,"Ah, yes, a Jedi's weapon. Much like your father's. By now you must know your father can never be turned from the dark side. So will it be with you.","['ah', 'yes', 'jedis', 'weapon', 'much', 'fathers', 'now', 'must', 'know', 'father', 'never', 'turned', 'dark', 'side', 'will']",39,0.064,0.785,0.151,0.4588
LUKE,EpisodeVI,You're wrong. Soon I'll be dead...and you with me.,"['wrong', 'soon', 'deadand']",112,0.279,0.721,0.0,-0.4767
EMPEROR,EpisodeVI,Perhaps you refer to the imminent attack of your Rebel fleet.,"['perhaps', 'refer', 'imminent', 'attack', 'rebel', 'fleet']",39,0.343,0.657,0.0,-0.5719
EMPEROR,EpisodeVI,Yes...I assure you we are quite safe from your friends here.,"['yesi', 'assure', 'quite', 'safe', 'friends']",39,0.0,0.479,0.521,0.8268
LUKE,EpisodeVI,Your overconfidence is your weakness.,"['overconfidence', 'weakness']",112,0.412,0.588,0.0,-0.4215
EMPEROR,EpisodeVI,Your faith in your friends is yours.,"['faith', 'friends']",39,0.0,0.459,0.541,0.7096
VADER,EpisodeVI,"It is pointless to resist, my son.","['pointless', 'resist', 'son']",43,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,Everything that has transpired has done so according to my design.  Your friends up there on the Sanctuary Moon...,"['everything', 'transpired', 'done', 'according', 'design', 'friends', 'sanctuary', 'moon']",39,0.0,0.853,0.147,0.4767
EMPEROR,EpisodeVI,...are walking into a trap. As is your Rebel fleet! It was I who allowed the Alliance to know the location of the shield generator. It is quite safe from your pitiful little band. An entire legion of my best troops awaits them.,"['walking', 'trap', 'rebel', 'fleet', 'allowed', 'alliance', 'know', 'location', 'shield', 'generator', 'quite', 'safe', 'pitiful', 'little', 'band', 'entire', 'legion', 'best', 'troops', 'awaits']",39,0.134,0.697,0.169,0.4376
EMPEROR,EpisodeVI,Oh...I'm afraid the deflector shield will be quite operational when your friends arrive.,"['ohim', 'afraid', 'deflector', 'shield', 'will', 'quite', 'operational', 'friends', 'arrive']",39,0.0,0.795,0.205,0.4767
HAN,EpisodeVI,"All right! Up! Move! Come on! Quickly! Quickly, Chewie.","['right', 'move', 'come', 'quickly', 'quickly', 'chewie']",124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,Han! Hurry! The fleet will be here any moment.,"['han', 'hurry', 'fleet', 'will', 'moment']",56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Charges!  Come on, come on!","['charges', 'come', 'come']",124,0.402,0.598,0.0,-0.3987
THREEPIO,EpisodeVI,"Oh, my! They'll be captured!","['oh', 'captured']",90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Wa-wait! Wait, come back! Artoo, stay with me.","['wawait', 'wait', 'come', 'back', 'artoo', 'stay']",90,0.0,1.0,0.0,0.0
COMMANDER,EpisodeVI,Freeze! You Rebel scum.,"['freeze', 'rebel', 'scum']",7,0.372,0.393,0.236,-0.1759
LANDO,EpisodeVI,All wings report in.,"['wings', 'report']",40,0.0,1.0,0.0,0.0
WEDGE,EpisodeVI,Red Leader standing by.,"['red', 'leader', 'standing']",11,0.0,1.0,0.0,0.0
WEDGE,EpisodeVI,Lock S-foils in attack positions.,"['lock', 'sfoils', 'attack', 'positions']",11,0.437,0.563,0.0,-0.4767
ACKBAR,EpisodeVI,May the Force be with us.,"['may', 'force', 'us']",14,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,"We've got to be able to get some kind of a reading on that shield, up or down. Well, how could they be jamming us if they don't know if we're coming.","['got', 'able', 'kind', 'reading', 'shield', 'jamming', 'us', 'know', 'coming']",40,0.0,0.937,0.063,0.2732
LANDO,EpisodeVI,Break off the attack! The shield is still up.,"['break', 'attack', 'shield', 'still']",40,0.298,0.702,0.0,-0.5255
LANDO,EpisodeVI,Pull up! All craft pull up!,"['pull', 'craft', 'pull']",40,0.0,1.0,0.0,0.0
ACKBAR,EpisodeVI,"Take evasive action! Green Group, stick close to holding sector MV-7.","['take', 'evasive', 'action', 'green', 'group', 'stick', 'close', 'holding', 'sector', 'mvseven']",14,0.0,1.0,0.0,0.0
CONTROLLER,EpisodeVI,"Admiral, we have enemy ships in sector 47.","['admiral', 'enemy', 'ships', 'sector', 'forty-seven']",5,0.297,0.508,0.195,-0.296
ACKBAR,EpisodeVI,It's a trap!,['trap'],14,0.564,0.436,0.0,-0.3802
LANDO,EpisodeVI,Fighters coming in.,"['fighters', 'coming']",40,0.375,0.625,0.0,-0.0516
LANDO,EpisodeVI,Accelerate to attack speed! Draw their fire away from the cruisers.,"['accelerate', 'attack', 'speed', 'draw', 'fire', 'away', 'cruisers']",40,0.392,0.608,0.0,-0.6996
WEDGE,EpisodeVI,"Copy, Gold Leader.","['copy', 'gold', 'leader']",11,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,"Come, boy. See for yourself.","['come', 'boy', 'see']",39,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,"From here you will witness the final destruction of the Alliance, and the end of your insignificant Rebellion.","['will', 'witness', 'final', 'destruction', 'alliance', 'end', 'insignificant', 'rebellion']",39,0.336,0.664,0.0,-0.765
EMPEROR,EpisodeVI,"You want this, don't you? The hate is swelling in you now. Take your Jedi weapon. Use it. I am unarmed. Strike me down with it. Give in to your anger. With each passing moment, you make yourself more my servant.","['want', 'hate', 'swelling', 'now', 'take', 'jedi', 'weapon', 'use', 'unarmed', 'strike', 'give', 'anger', 'passing', 'moment', 'make', 'servant']",39,0.155,0.755,0.09,-0.477
LUKE,EpisodeVI,No!,[],112,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,"It is unavoidable. It is your destiny. You, like your father, are now mine!","['unavoidable', 'destiny', 'father', 'now', 'mine']",39,0.0,0.823,0.177,0.4199
STORMTROOPER,EpisodeVI,"All right, move it! I said move it! Go on!","['right', 'move', 'said', 'move', 'go']",6,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Hello! I say, over there! Were you looking for me?","['hello', 'say', 'looking']",90,0.0,1.0,0.0,0.0
STORMTROOPER,EpisodeVI,Let's go!,['go'],6,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Well, they're on their way. Artoo, are you sure this was a good idea?","['way', 'artoo', 'sure', 'good', 'idea']",90,0.0,0.601,0.399,0.743
STORMTROOPER,EpisodeVI,Freeze! Don't move!,"['freeze', 'move']",6,0.0,0.529,0.471,0.1984
THREEPIO,EpisodeVI,We surrender.,['surrender'],90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Ohhh! Stand back, Artoo.","['ohhh', 'stand', 'back', 'artoo']",90,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,The code's changed. We need Artoo!,"['codes', 'changed', 'need', 'artoo']",56,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Here's the terminal.,['terminal'],124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,"Artoo, where are you? We need you at the bunker right away.","['artoo', 'need', 'bunker', 'right', 'away']",56,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Going? What do you mean, you're going. But-- but going where, Artoo? No, what! Artoo! Oh, this is no time for heroics. Come back!","['going', 'mean', 'going', 'going', 'artoo', 'artoo', 'oh', 'time', 'heroics', 'come', 'back']",90,0.091,0.718,0.19,0.6169
LANDO,EpisodeVI,"Watch yourself, Wedge! Three from above!","['watch', 'wedge', 'three']",40,0.0,1.0,0.0,0.0
WEDGE,EpisodeVI,"Red Three, Red Two, pull in!","['red', 'three', 'red', 'two', 'pull']",11,0.0,1.0,0.0,0.0
WEDGE,EpisodeVI,Cut to the left! I'll take the leader! They're heading for the medical frigate.,"['cut', 'left', 'take', 'leader', 'heading', 'medical', 'frigate']",11,0.171,0.829,0.0,-0.3987
NAVIGATOR,EpisodeVI,Pressure's steady.,"['pressures', 'steady']",1,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,Only the fighters are attacking.  I wonder what those Star Destroyers are waiting for.,"['fighters', 'attacking', 'wonder', 'star', 'destroyers', 'waiting']",40,0.405,0.595,0.0,-0.7579
COMMANDER,EpisodeVI,"We're in attack position now, sir.","['attack', 'position', 'now', 'sir']",7,0.383,0.617,0.0,-0.4767
PIETT,EpisodeVI,Hold here.,['hold'],8,0.0,1.0,0.0,0.0
COMMANDER,EpisodeVI,We're not going to attack?,"['going', 'attack']",7,0.0,0.61,0.39,0.3724
PIETT,EpisodeVI,I have my orders from the Emperor himself. He has something special planned for them. We only need to keep them from escaping.,"['orders', 'emperor', 'something', 'special', 'planned', 'need', 'keep', 'escaping']",8,0.0,0.843,0.157,0.4404
EMPEROR,EpisodeVI,"As you can see, my young apprentice, your friends have failed. Now witness the firepower of this fully armed and operational battle station.  Fire at will, Commander.","['see', 'young', 'apprentice', 'friends', 'failed', 'now', 'witness', 'firepower', 'fully', 'armed', 'operational', 'battle', 'station', 'fire', 'will', 'commander']",39,0.241,0.669,0.09,-0.6369
JERJERROD,EpisodeVI,Fire!,['fire'],7,1.0,0.0,0.0,-0.4003
LANDO,EpisodeVI,"That blast came from the Death Star! That thing's operational!  Home One, this is Gold Leader.","['blast', 'came', 'death', 'star', 'things', 'operational', 'home', 'one', 'gold', 'leader']",40,0.23,0.77,0.0,-0.6688
ACKBAR,EpisodeVI,We saw it. All craft prepare to retreat.,"['saw', 'craft', 'prepare', 'retreat']",14,0.0,0.795,0.205,0.2023
LANDO,EpisodeVI,"You won't get another chance at this, Admiral.","['another', 'chance', 'admiral']",40,0.173,0.598,0.229,0.1431
ACKBAR,EpisodeVI,"We have no choice, General Calrissian. Our cruisers can't repel firepower of that magnitude.","['choice', 'general', 'calrissian', 'cruisers', 'repel', 'firepower', 'magnitude']",14,0.145,0.855,0.0,-0.296
LANDO,EpisodeVI,Han will have that shield down. We've got to give him more time.,"['han', 'will', 'shield', 'got', 'give', 'time']",40,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,We're coming!,['coming'],90,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Come on! Come on!,"['come', 'come']",124,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh, Artoo, hurry!","['oh', 'artoo', 'hurry']",90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"My goodness! Artoo, why did you have to be so brave?","['goodness', 'artoo', 'brave']",90,0.0,0.54,0.46,0.8252
HAN,EpisodeVI,"Well, I suppose I could hotwire this thing.","['suppose', 'hotwire', 'thing']",124,0.0,0.769,0.231,0.2732
LEIA,EpisodeVI,I'll cover you.,['cover'],56,0.0,1.0,0.0,0.0
LANDO,EpisodeVI,Yes! I said closer! Move as close as you can and engage those Star Destroyers at point- blank range.,"['yes', 'said', 'closer', 'move', 'close', 'engage', 'star', 'destroyers', 'point', 'blank', 'range']",40,0.132,0.64,0.228,0.3365
ACKBAR,EpisodeVI,"At that close range, we won't last long against those Star Destroyers.","['close', 'range', 'last', 'long', 'star', 'destroyers']",14,0.231,0.769,0.0,-0.5106
LANDO,EpisodeVI,We'll last longer then we will against that Death Star...and we might just take a few of them with us.,"['last', 'longer', 'will', 'death', 'starand', 'might', 'take', 'us']",40,0.17,0.83,0.0,-0.5994
EMPEROR,EpisodeVI,"Your fleet has lost. And your friends on the Endor moon will not survive. There is no escape, my young apprentice. The Alliance will die...as will your friends.","['fleet', 'lost', 'friends', 'endor', 'moon', 'will', 'survive', 'escape', 'young', 'apprentice', 'alliance', 'will', 'dieas', 'will', 'friends']",39,0.112,0.706,0.182,0.5239
EMPEROR,EpisodeVI,"Good. I can feel your anger. I am defenseless.  Take your weapon! Strike me down with all your hatred, and your journey towards the dark side will be complete.","['good', 'feel', 'anger', 'defenseless', 'take', 'weapon', 'strike', 'hatred', 'journey', 'towards', 'dark', 'side', 'will', 'complete']",39,0.356,0.572,0.072,-0.8858
HAN,EpisodeVI,I think I got it. I got it!,"['think', 'got', 'got']",124,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Oh, Princess Leia, are you all right?","['oh', 'princess', 'leia', 'right']",90,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Let's see.,['see'],124,0.0,1.0,0.0,0.0
LEIA,EpisodeVI,It's not bad.,['bad'],56,0.0,0.412,0.588,0.431
STORMTROOPER,EpisodeVI,Freeze!,['freeze'],6,0.0,0.0,1.0,0.126
THREEPIO,EpisodeVI,"Oh, dear.","['oh', 'dear']",90,0.0,0.278,0.722,0.3818
STORMTROOPER,EpisodeVI,Don't move!,['move'],6,0.0,1.0,0.0,0.0
HAN,EpisodeVI,I love you.,['love'],124,0.0,0.323,0.677,0.6369
LEIA,EpisodeVI,I know.,['know'],56,0.0,1.0,0.0,0.0
STORMTROOPER,EpisodeVI,Hands up! Stand up!,"['hands', 'stand']",6,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Stay back.,"['stay', 'back']",124,0.0,1.0,0.0,0.0
HAN,EpisodeVI,"Chewie!  Get down here!  She's wounded!  No, wait....  I got an idea.","['chewie', 'wounded', 'wait', 'got', 'idea']",124,0.0,1.0,0.0,0.0
EMPEROR,EpisodeVI,"Good.  Use your aggressive feelings, boy!  Let the hate flow through you.","['good', 'use', 'aggressive', 'feelings', 'boy', 'let', 'hate', 'flow']",39,0.32,0.515,0.166,-0.4003
VADER,EpisodeVI,Obi-Wan has taught you well.,"['obiwan', 'taught']",43,0.0,0.656,0.344,0.2732
LUKE,EpisodeVI,"I will not fight you, father.","['will', 'fight', 'father']",112,0.0,0.696,0.304,0.2924
VADER,EpisodeVI,You are unwise to lower your defenses.,"['unwise', 'lower', 'defenses']",43,0.247,0.562,0.191,-0.128
LUKE,EpisodeVI,"Your thoughts betray you, father. I feel the good in you...the conflict.","['thoughts', 'betray', 'father', 'feel', 'good', 'youthe', 'conflict']",112,0.353,0.489,0.158,-0.5574
VADER,EpisodeVI,There is no conflict.,['conflict'],43,0.0,0.605,0.395,0.2411
LUKE,EpisodeVI,"You couldn't bring yourself to kill me before, and I don't believe you'll destroy me now.","['bring', 'kill', 'believe', 'destroy', 'now']",112,0.218,0.65,0.132,-0.431
VADER,EpisodeVI,"You underestimate the power of the dark side. If you will not fight, then you will meet your destiny.","['underestimate', 'power', 'dark', 'side', 'will', 'fight', 'will', 'meet', 'destiny']",43,0.103,0.795,0.102,-0.0041
EMPEROR,EpisodeVI,Good.  Good.,"['good', 'good']",39,0.0,0.0,1.0,0.7003
LANDO,EpisodeVI,Watch out. Squad at .06.,"['watch', 'squad', 'six']",40,0.0,1.0,0.0,0.0
WEDGE,EpisodeVI,"Good shot, Red Two.","['good', 'shot', 'red', 'two']",11,0.0,0.508,0.492,0.4404
LANDO,EpisodeVI,"Now...come on, Han, old buddy. Don't let me down.","['nowcome', 'han', 'old', 'buddy', 'let']",40,0.0,1.0,0.0,0.0
HAN,EpisodeVI,Throw me another charge.,"['throw', 'another', 'charge']",124,0.0,1.0,0.0,0.0
VADER,EpisodeVI,"You cannot hide forever, Luke.","['hide', 'forever', 'luke']",43,0.0,0.725,0.275,0.1326
LUKE,EpisodeVI,I will not fight you.,"['will', 'fight']",112,0.0,0.647,0.353,0.2924
